,Costs
0,51667.0
1,48346.0
2,52801.0
3,48211.0
4,51379.0
5,50848.0
6,50578.0
7,50767.0
8,50848.0
9,48760.0
10,50704.0
11,50668.0
12,48688.0
13,50236.0
14,48760.0
15,51793.0
16,49498.0
17,51199.0
18,52540.0
19,49723.0
20,49489.0
21,49948.0
22,50020.0
23,49354.0
24,49984.0
25,50236.0
26,49768.0
27,50767.0
28,51064.0
29,49336.0
30,50515.0
31,51577.0
32,51397.0
33,49246.0
34,48904.0
35,51109.0
36,50146.0
37,49318.0
38,49597.0
39,48661.0
40,52027.0
41,50272.0
42,50173.0
43,49435.0
44,48607.0
45,51028.0
46,49345.0
47,50722.0
48,49948.0
49,50848.0
50,50218.0
51,51631.0
52,49822.0
53,50533.0
54,49948.0
55,48850.0
56,50290.0
57,49102.0
58,47689.0
59,49381.0
60,48679.0
61,50110.0
62,48832.0
63,49426.0
64,51451.0
65,48463.0
66,50290.0
67,47563.0
68,49930.0
69,49624.0
70,48616.0
71,50110.0
72,49507.0
73,50560.0
74,51973.0
75,50317.0
76,50236.0
77,49507.0
78,49120.0
79,51964.0
80,49948.0
81,52567.0
82,50425.0
83,50821.0
84,50767.0
85,49552.0
86,49471.0
87,51019.0
88,52234.0
89,48526.0
90,50245.0
91,51064.0
92,51136.0
93,49993.0
94,49615.0
95,49525.0
96,49390.0
97,51208.0
98,50497.0
99,48166.0
100,49183.0
101,48076.0
102,49489.0
103,50209.0
104,51982.0
105,49102.0
106,49840.0
107,49966.0
108,49147.0
109,48832.0
110,50668.0
111,50380.0
112,50002.0
113,49300.0
114,51181.0
115,49750.0
116,50137.0
117,49264.0
118,50713.0
119,50470.0
120,51757.0
121,49390.0
122,47824.0
123,49930.0
124,50452.0
125,52261.0
126,50371.0
127,49723.0
128,49813.0
129,49723.0
130,87.0
