,Costs
0,78496.0
1,79252.0
2,78568.0
3,76228.0
4,74770.0
5,74986.0
6,75634.0
7,79108.0
8,76390.0
9,76003.0
10,77470.0
11,79270.0
12,77947.0
13,78523.0
14,76489.0
15,77677.0
16,78721.0
17,80638.0
18,77668.0
19,77767.0
20,78100.0
21,78865.0
22,77173.0
23,78316.0
24,77002.0
25,77848.0
26,78523.0
27,77065.0
28,76759.0
29,80233.0
30,78415.0
31,74284.0
32,75823.0
33,77164.0
34,79063.0
35,80017.0
36,77236.0
37,81196.0
38,75490.0
39,80944.0
40,75499.0
41,78388.0
42,76381.0
43,75508.0
44,76390.0
45,76327.0
46,75553.0
47,77641.0
48,77542.0
49,78820.0
50,79468.0
51,75868.0
52,76858.0
53,78316.0
54,77407.0
55,81097.0
56,79765.0
57,78568.0
58,80215.0
59,80908.0
60,78118.0
61,77857.0
62,80152.0
63,76696.0
64,75292.0
65,78145.0
66,77155.0
67,75517.0
68,75130.0
69,78883.0
70,76453.0
71,76876.0
72,79027.0
73,78028.0
74,75589.0
75,74248.0
76,79459.0
77,78910.0
78,75040.0
79,76633.0
80,75175.0
81,77920.0
82,78973.0
83,78667.0
84,77200.0
85,79630.0
86,78928.0
87,78721.0
88,79729.0
89,78991.0
90,75769.0
91,75157.0
92,76327.0
93,77704.0
94,78415.0
95,74329.0
96,77335.0
97,75697.0
98,74851.0
99,77830.0
100,75085.0
101,77308.0
102,77776.0
103,76120.0
104,76525.0
105,76480.0
106,80089.0
107,77875.0
108,78730.0
109,78523.0
110,79270.0
111,77137.0
112,78262.0
113,77254.0
114,78487.0
115,76957.0
116,79324.0
117,76309.0
118,73618.0
119,76975.0
120,78235.0
121,74473.0
122,87.8
